ticker,entry_date,exit_date,entry_price,exit_price,shares,cost_basis,net_proceeds,pnl,pnl_pct,holding_days
ARKG,2021-06-29,2021-06-30,93.14305305480956,93.00689847564698,894,83353.15932043074,83065.01906999116,-288.140250439581,-0.0034568605771965596,1
IBIT,2024-02-27,2024-03-19,32.56252877807617,36.31364847564697,2559,83410.83865424003,92833.69982273142,9422.861168491392,0.1129692653918952,21
XLU,2024-09-19,2024-09-24,39.13909847259521,39.90005862808228,2129,83410.46778880335,84862.27759436797,1451.809805564626,0.017405606802741256,5
