ticker,entry_date,exit_date,entry_price,exit_price,shares,cost_basis,net_proceeds,pnl,pnl_pct,holding_days
STLTECH.NS,2025-06-13,2025-06-16,84.08399999999999,83.61629695129395,991,83410.57124399999,82780.88652845357,-629.6847155464202,-0.007549219555209743,3
AMBER.NS,2025-07-31,2025-08-01,7932.924999999999,7957.035,10,79408.57925,79490.77965000001,82.20040000001609,0.0010351576715813876,1
AXISBANK.NS,2025-10-07,2025-10-09,1213.2119999999998,1176.822,68,82580.91441599999,79943.872104,-2637.0423119999905,-0.03193283012968267,2
BHARATFORG.NS,2025-11-12,2025-11-13,1411.4099999999999,1394.8037512207031,59,83356.46319,82211.12790069946,-1145.3352893005358,-0.013740209762617878,1
